step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_norm,arm_sigma_min,arm_condition_number,manipulability_proxy,joint_limit_min_margin,singularity_avoidance_active,singularity_avoidance_singular_count,joint_limit_avoidance_enabled,joint_limit_avoidance_active_lower_count,joint_limit_avoidance_active_upper_count,solver_status,fail_reason,platform_x,platform_y,platform_psi,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_arm_1,q_arm_2,q_arm_3,q_arm_4,q_arm_5,q_arm_6
1,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,4.723069394728281e-16,0.14294473155918086,5.597164301324375,0.027322499261224067,2.021592653589793,False,0,False,0,0,min_task,none,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18
2,0.02,0.05702416634167273,0.010002375271278577,0.24858536554912752,0.05702190877344139,0.010002371411802463,0.24858447474496193,2.4269654460190744e-06,0.14294473155918086,5.597164301324375,0.027322499261224067,2.021592653589793,False,0,False,0,0,min_task,none,-1.9266151299740801e-07,-3.395288966683413e-09,9.911305681540774e-08,-1.9266151299740801e-07,-3.395288966683413e-09,9.911305681540774e-08,2.3345342855672814e-07,0.5799985751471595,0.9200053200941107,-1.504687860314532e-07,2.8132338674315374e-08,1.2643526415794466e-07,2.3345342855672814e-07,0.5799985751471595,0.9200053200941107,-1.504687860314532e-07,2.8132338674315374e-08,1.2643526415794466e-07
3,0.04,0.05703533844776219,0.010002387832943946,0.24858985774846803,0.05702707474719139,0.010002371411802463,0.24858662723402444,8.872724516632526e-06,0.14294533270017712,5.59713469390868,0.027322671705077316,2.021587333495682,False,0,False,0,0,min_task,none,-9.041140299878831e-07,-1.5634262346958466e-08,4.3423010095822655e-07,-9.041140299878831e-07,-1.5634262346958466e-08,4.3423010095822655e-07,1.0532742687921346e-06,0.5799933656226708,0.9200252515781531,-6.938211517138786e-07,1.23431213877329e-07,5.852697954693135e-07,1.0532742687921346e-06,0.5799933656226708,0.9200252515781531,-6.938211517138786e-07,1.23431213877329e-07,5.852697954693135e-07
4,0.06,0.057059391812787325,0.010002411253895607,0.24859957981836822,0.057040961495941386,0.010002371411802463,0.24859241337933694,1.977463058626395e-05,0.1429475848130765,5.597023774151553,0.02732331547901073,2.02156740201164,False,0,False,0,0,min_task,none,-2.4234437811238547e-06,-4.10155636757489e-08,1.0790211839239762e-06,-2.4234437811238547e-06,-4.10155636757489e-08,1.0790211839239762e-06,2.704346981553964e-06,0.5799823544965788,0.9200684544621751,-1.8239112043620763e-06,3.089690543244834e-07,1.5448808996873343e-06,2.704346981553964e-06,0.5799823544965788,0.9200684544621751,-1.8239112043620763e-06,3.089690543244834e-07,1.5448808996873343e-06
5,0.08,0.05710068646926608,0.010002446626981406,0.24861634688265571,0.057067735907191386,0.010002371411802463,0.24860356938402445,3.534133089788176e-05,0.14295246628825783,5.596783363431051,0.027324706040315533,2.021524199127618,False,0,False,0,0,min_task,none,-5.012440536413814e-06,-8.294385417722442e-08,2.0600637718638423e-06,-5.012440536413814e-06,-8.294385417722442e-08,2.0600637718638423e-06,5.350087456413071e-06,0.5799637543597981,0.9201430554375595,-3.6980052955881613e-06,5.999768249976841e-07,3.1447338707573796e-06,5.350087456413071e-06,0.5799637543597981,0.9201430554375595,-3.6980052955881613e-06,5.999768249976841e-07,3.1447338707573796e-06
6,0.1,0.05716330540398257,0.010002494698293838,0.24864187130561588,0.05711143391844139,0.010002371411802463,0.24862177688871193,5.5627797030959056e-05,0.1429608950350731,5.596368281164491,0.02732710037167265,2.0214495981522336,False,0,False,0,0,min_task,none,-8.912299923461013e-06,-1.4413606686685118e-07,3.3698647112036883e-06,-8.912299923461013e-06,-1.4413606686685118e-07,3.3698647112036883e-06,9.093913480318264e-06,0.5799359295413024,0.9202567188876488,-6.445404992591585e-06,1.0081010450553661e-06,5.501689682287098e-06,9.093913480318264e-06,0.5799359295413024,0.9202567188876488,-6.445404992591585e-06,1.0081010450553661e-06,5.501689682287098e-06
7,0.12000000000000001,0.05725110617904423,0.010002556114635386,0.2486777779524078,0.05717596186719139,0.010002371411802463,0.24864866353402443,8.05875367335113e-05,0.1429737363526566,5.595735972423277,0.02733074061701367,2.0213359347021442,False,0,False,0,0,min_task,none,-1.4348261409053294e-05,-2.2677431054272514e-07,4.977553995233992e-06,-1.4348261409053294e-05,-2.2677431054272514e-07,4.977553995233992e-06,1.399621907621784e-05,0.5798973417379558,0.9204166968769216,-1.0173414183861762e-05,1.5434713251972375e-06,8.71449021451703e-06,1.399621907621784e-05,0.5798973417379558,0.9204166968769216,-1.0173414183861762e-05,1.5434713251972375e-06,8.71449021451703e-06
8,0.14,0.05736775687477112,0.010002631448564399,0.24872561537683568,0.05726509784094139,0.010002371411802463,0.24868580352308695,0.00011010871239317692,0.14299180839139586,5.594846257180893,0.027335856768172136,2.021175956712871,False,0,False,0,0,min_task,none,-2.1532854912813952e-05,-3.326182938953617e-07,6.8378830995343465e-06,-2.1532854912813952e-05,-3.326182938953617e-07,6.8378830995343465e-06,2.008799918061877e-05,0.5798465109278754,0.9206298628937803,-1.4971563158978944e-05,2.215627202945158e-06,1.2867019712774623e-05,2.008799918061877e-05,0.5798465109278754,0.9206298628937803,-1.4971563158978944e-05,2.215627202945158e-06,1.2867019712774623e-05
9,0.16,0.05751676108222971,0.010002721139157652,0.24878686400521582,0.05738249302719139,0.010002371411802463,0.24873471818402443,0.0001440389516093533,0.1430158857518325,5.5936611735940875,0.027342668671451534,2.0209627906960126,False,0,False,0,0,min_task,none,-3.066821401137817e-05,-4.6308727366216044e-07,8.898877073657708e-06,-3.066821401137817e-05,-4.6308727366216044e-07,8.898877073657708e-06,2.738187702839387e-05,0.5797819861691991,0.9209027331462949,-2.0914694820882196e-05,3.033907232191826e-06,1.8030745825354823e-05,2.738187702839387e-05,0.5797819861691991,0.9209027331462949,-2.0914694820882196e-05,3.033907232191826e-06,1.8030745825354823e-05
10,0.18,0.057701475264983385,0.010002825421533136,0.24886294211674603,0.05753167306344139,0.010002371411802463,0.24879687653246194,0.0001822022370887444,0.1430467016566217,5.592144893234749,0.027351387549440956,2.0206899204434983,False,0,False,0,0,min_task,none,-4.1947765964593296e-05,-6.193188855904371e-07,1.1108307528239293e-05,-4.1947765964593296e-05,-6.193188855904371e-07,1.1108307528239293e-05,3.588100047881027e-05,0.5797023227305015,0.9212414784118023,-2.8065299341823278e-05,4.007632796205952e-06,2.4266603241519875e-05,3.588100047881027e-05,0.5797023227305015,0.9212414784118023,-2.8065299341823278e-05,4.007632796205952e-06,2.4266603241519875e-05
